external_id,Manuel_label,baslik,mevcut_kategori,oneri_kategori,primary_role_source,secondary_role_source,non_focus_role_source,role_evidence,proposed_discipline_relation,confidence,is_boundary_case,competing_role_1,competing_role_2,boundary_rationale,Manuel_Gerekce
1403252,TP-2,Türkiye’de Ayakkabı İmalatı Sektöründe Kümelenme: Mekansal Dağılım Üzerine Bir İnceleme,Coğrafya,"Malzeme Bilimleri, Tekstil",RESEARCH_FOCUS,,0,Metin/Gerekçe: Ekonomik coğrafya ve imalat/tekstil sektörel analizi melez çalışmasıdır; disiplinlerarası etiketlenmelidir.,"Önerilen disiplin ('Malzeme Bilimleri, Tekstil'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Ekonomik coğrafya ve imalat/tekstil sektörel analizi melez çalışmasıdır; disiplinlerarası etiketlenmelidir.
1387357,TP-1,"De Nunzio Nomogramı, Semirigid Üreteroskopi Sonrası Taşsızlık Oranlarını Güvenilir Şekilde Öngörebilir mi? Retrospektif Bir Eksternal Validasyon Çalışması",Arkeoloji,"Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme",RESEARCH_FOCUS,METHOD,0,"Metin/Gerekçe: Bariz veri girişi hatası: Üroloji cerrahisi ve böbrek taşı makalesi sisteme ""Arkeoloji"" olarak girilmiş, model doğru disipline (Tıp/Cerrahi) çekmiştir.","Önerilen disiplin ('Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme'), makalenin research_focus bileşeninden kaynaklanmaktadır.",MEDIUM,True,RESEARCH_FOCUS,METHOD,Kullanılan nomogram veya biyoteknolojik analiz çalışmanın araştırma odağının merkezindedir (Method ↔ Research Focus).,"Bariz veri girişi hatası: Üroloji cerrahisi ve böbrek taşı makalesi sisteme ""Arkeoloji"" olarak girilmiş, model doğru disipline (Tıp/Cerrahi) çekmiştir."
1278959,TP-2,FAZLA KİLOLU BİREYLERDE UYKU KALİTESİ VE YAŞAM DOYUMUNUN FİZYOLOJİK DEĞİŞKENLER AÇISINDAN İNCELENMESİ,"Fizyoloji, Psikiyatri",Beslenme ve Diyetetik,RESEARCH_FOCUS,,0,Metin/Gerekçe: Obezite/kilo kontrolü ve uyku fizyolojisi analizi olup Beslenme ve Diyetetik ikincil etiket olarak uygundur.,"Önerilen disiplin ('Beslenme ve Diyetetik'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Obezite/kilo kontrolü ve uyku fizyolojisi analizi olup Beslenme ve Diyetetik ikincil etiket olarak uygundur.
1387804,TP-2,Seeds of natural plants for surface water treatment: An alternative sustainable approach for developing countries,Çevre Mühendisliği,Su Kaynakları,RESEARCH_FOCUS,,0,"Metin/Gerekçe: Nehir yüzey sularının arıtılması amacıyla Moringa stenopetala ve Cadaba farinosa tohumlarının doğal koagülant ve dezenfektan olarak kullanıldığı, bulanıklık gid","Önerilen disiplin ('Su Kaynakları'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,"Nehir yüzey sularının arıtılması amacıyla Moringa stenopetala ve Cadaba farinosa tohumlarının doğal koagülant ve dezenfektan olarak kullanıldığı, bulanıklık giderimi (%73.3) ve E. coli inaktivasyon parametrelerinin incelendiği doğrudan bir su arıtma teknolojisi, çevre mühendisliği ve su kalitesi yönetimi melez araştırmasıdır; mevcut 'Çevre Mühendisliği' ana disiplini korunmalı ve yüzey suyu kalitesi ve su kaynakları yönetimi boyutu için modelin ve k-NN yerel uzlaşısının isabetle önerdiği Su Kaynakları alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma)."
1394532,TP-2,"Tritikale'de genotip, özellik ve genotip verim, özellik kombinasyonlarının biplot yöntemi kullanılarak çeşitlerin çevreye adaptasyonunun belirlenmesi","Bitki Bilimleri, Ziraat Mühendisliği",Genetik ve Kalıtım,RESEARCH_FOCUS,,0,"Metin/Gerekçe: Tritikale ıslah programında farklı genotiplerin çoklu lokasyon ve sezonlarda GT ve GYT biplot analizleri kullanılarak verim, agronomik özellikler ve çevreye ada","Önerilen disiplin ('Genetik ve Kalıtım'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,"Tritikale ıslah programında farklı genotiplerin çoklu lokasyon ve sezonlarda GT ve GYT biplot analizleri kullanılarak verim, agronomik özellikler ve çevreye adaptasyon/genotip-çevre etkileşiminin incelendiği doğrudan bir tarla bitkileri, bitki ıslahı ve kantitatif genetik melez araştırmasıdır; mevcut 'Bitki Bilimleri, Ziraat Mühendisliği' omurgası korunmalı ve genotipik varyasyon ile ıslah genetiği boyutu için modelin ve k-NN yerel uzlaşısının (%50) isabetle önerdiği Genetik ve Kalıtım alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma)."
1333454,TP-1,Akış Destekli Manyetik Rezonans Görüntüleme (Mrg) Ve Nmr Relaksometrenin Gıdalarda In Vitro Sindirim İzleme Aracı Olarak Kullanılması,"Görüntüleme Bilimi ve Fotoğraf Teknolojisi, Matematik, Mikroskopi",Gastroenteroloji ve Hepatoloji,CONTEXT,CROSS_DOMAIN,1,"Metin/Gerekçe: Hidrokolloidler (ksantan, ayva çekirdeği müsilajı vb.) ve protein izolatları ile hazırlanan Pickering gıda emülsiyonlarının in vitro gastrointestinal sindirim d","Önerilen disiplin ('Gastroenteroloji ve Hepatoloji'), makalenin context bileşeninden kaynaklanmaktadır.",MEDIUM,True,CONTEXT,CROSS_DOMAIN,Gıda emülsiyonunun in vitro gastrointestinal sindirim simülasyonu klinik gastroenteroloji sanılmıştır (Context ↔ Cross-domain).,"Hidrokolloidler (ksantan, ayva çekirdeği müsilajı vb.) ve protein izolatları ile hazırlanan Pickering gıda emülsiyonlarının in vitro gastrointestinal sindirim davranışının akış destekli MRG, TD-NMR relaksometri, FTIR ve konfokal mikroskopi ile incelendiği doğrudan bir gıda bilimi, gıda teknolojisi ve gıda reolojisi araştırmasıdır; mevcut kategorideki 'Fotoğraf Teknolojisi, Matematik' etiketleri çöp veridir. Çalışmada klinik/tıbbi hasta verisi bulunmayıp in vitro gıda simülasyonu yapıldığından modelin 'Gastroenteroloji ve Hepatoloji' önerisi model yanılgısıdır (FP-1). Makale gerçek alanı olan Gıda Bilimi ve Teknolojisi ana disiplinine aktarılmalıdır (TP-1 kategori değişimi)."
1406206,TP-2,Yabancı Unsurlu Nüfus Kayıt Düzeltme Davalarında DNA İncelemesi ve Feth-i Kabir: Hâkimin Takdirinin Sınırları ve Alternatif Bilimsel Yöntemler,Hukuk,Genetik ve Kalıtım,RESEARCH_FOCUS,,0,Metin/Gerekçe: Hukuki soybağı davalarında adli tıp ve genetik delil kullanımının disiplinlerarası hukuki-tıbbi analizidir.,"Önerilen disiplin ('Genetik ve Kalıtım'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Hukuki soybağı davalarında adli tıp ve genetik delil kullanımının disiplinlerarası hukuki-tıbbi analizidir.
1235577,TP-2,Bilim Kurgu Edebiyatı ve Sinemasında Zaman-Mekân Kavramları: Değiştirilmiş Karbon [Altered Carbon],"Astronomi ve Astrofizik, Beşeri Bilimler, Edebi Teori ve Eleştiri","Bilgisayar Bilimleri, Donanım ve Mimari",RESEARCH_FOCUS,,0,"Metin/Gerekçe: Siberpunk türündeki Değiştirilmiş Karbon (Altered Carbon) romanı ve dizi uyarlaması üzerinden edebi mekânın görsel mekâna dönüşümü, sinema, edebiyat ve mimarlık","Önerilen disiplin ('Bilgisayar Bilimleri, Donanım ve Mimari'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,"Siberpunk türündeki Değiştirilmiş Karbon (Altered Carbon) romanı ve dizi uyarlaması üzerinden edebi mekânın görsel mekâna dönüşümü, sinema, edebiyat ve mimarlık etkileşiminde mekânsal analizlerin yapıldığı disiplinlerarası bir mimarlık ve edebiyat eleştirisi araştırmasıdır; mevcut kategorideki 'Astronomi ve Astrofizik' etiketi çöp veridir. Modelin 'Bilgisayar Bilimleri, Donanım ve Mimari' önerisi mekânsal mimarlık kavramını bilgisayar donanım mimarisi sanan bariz bir model yanılgısıdır (FP-1). Mevcut 'Beşeri Bilimler, Edebi Teori ve Eleştiri' korunmalı, çöp etiket temizlenmeli ve k-NN yerel uzlaşısının (%60) tam isabetle belirlediği Mimarlık alanı ikincil etiket olarak eklenmelidir (TP-2 melez çalışma ve etiket düzeltme)."
1383363,TP-2,"ÇİVİT MAVİSİNİN ÖZELLİKLERİ, YAĞLI BOYA RESİMLERDE KULLANIMI VE BOZULMASININ İNCELENMESİ","Arkeoloji, Sanat","Malzeme Bilimleri, Kâğıt ve Ahşap",RESEARCH_FOCUS,,0,Metin/Gerekçe: Yağlı boya pigmentlerinin kimyasal ve fiziksel bozulma analizi; Sanat/Arkeoloji ile Malzeme Bilimleri kesişimidir.,"Önerilen disiplin ('Malzeme Bilimleri, Kâğıt ve Ahşap'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Yağlı boya pigmentlerinin kimyasal ve fiziksel bozulma analizi; Sanat/Arkeoloji ile Malzeme Bilimleri kesişimidir.
1395166,TP-2,GAZİANTEP İLİ NURDAĞI İLÇESİ KÖMÜRLER’DE TESPİT EDİLEN PALAS DOKUMALAR,Folklor,"Malzeme Bilimleri, Tekstil",MATERIAL_OBJECT,RESEARCH_FOCUS,1,Metin/Gerekçe: Geleneksel düz dokuma yaygıların teknik ve motif analizi; Folklor ile Tekstil/Malzeme kesişimidir.,"Önerilen disiplin ('Malzeme Bilimleri, Tekstil'), makalenin material_object bileşeninden kaynaklanmaktadır.",MEDIUM,True,MATERIAL_OBJECT,RESEARCH_FOCUS,"İncelenen fiziksel materyal/hammadde (Malzeme Bilimleri, Tekstil) ikincil disiplin sinyalini üretmiştir (Material ↔ Research Focus).",Geleneksel düz dokuma yaygıların teknik ve motif analizi; Folklor ile Tekstil/Malzeme kesişimidir.
1405627,FP,Farklı Üretim Yöntemleri ve Anodizasyon Parametrelerinin Rezin Siman-Titanyum Bağlantısına Etkisi: Bir in Vitro Çalışma,Diş Hekimliği,Metalürji Mühendisliği,MATERIAL_OBJECT,,1,Metin/Gerekçe: Protetik diş tedavisinde kullanılan titanyum materyallerin farklı üretim yöntemleri (frezeleme vs. selektif lazer eritme) ve yüzey modifikasyonlarının (alümina ,"Önerilen disiplin ('Metalürji Mühendisliği'), makalede incelenen nesne/malzeme/hammadde kaynaklıdır.",HIGH,False,,,,"Protetik diş tedavisinde kullanılan titanyum materyallerin farklı üretim yöntemleri (frezeleme vs. selektif lazer eritme) ve yüzey modifikasyonlarının (alümina kumlama, fosforik asit anodizasyonu) termal siklus sonrasında rezin siman bağlanma dayanımı ve klinik tutuculuğu üzerindeki etkilerinin incelendiği doğrudan bir protetik diş tedavisi ve dental materyal araştırmasıdır; çalışmada genel metalürji mühendisliği prosesi bulunmayıp dental protez simantasyon performansı test edilmiştir. Modelin 'Metalürji Mühendisliği' önerisi dental protetik altyapı işlemlerini metalürji sanan bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' ana disiplini tam, eksiksiz ve doğrudur."
1397945,FP,M1 POLARİZE MAKROFAJ FARKLILAŞMASINDA GÜNCEL TEKNİKLER: KAVRAMSAL ÇERÇEVE ENTEGRASYONU İLE KARŞILAŞTIRMALI DENEYSEL ÇALIŞMA,"Hücre Biyolojisi, İmmünoloji",Mikroskopi,METHOD,,1,"Metin/Gerekçe: U937 monositik hücre hattının PMA, LPS ve IFN-gama indüksiyonu ile M1 polarize makrofajlara farklılaşma protokollerinin karşılaştırıldığı ve CD68/CD206 yüzey be","Önerilen disiplin ('Mikroskopi'), makalede uygulanan analiz, ölçüm, algoritma veya yöntem kaynaklıdır.",HIGH,False,,,,"U937 monositik hücre hattının PMA, LPS ve IFN-gama indüksiyonu ile M1 polarize makrofajlara farklılaşma protokollerinin karşılaştırıldığı ve CD68/CD206 yüzey belirteçlerinin akım sitometrisi (flow cytometry) ile fenotipik olarak analiz edildiği doğrudan bir hücresel immünoloji ve hücre biyolojisi araştırmasıdır; çalışmada mikroskopi geliştirme veya optik enstrümantasyon bulunmayıp modelin 'Mikroskopi' önerisi bir analiz aracı model yanılgısıdır (FP-1). Mevcut 'Hücre Biyolojisi, İmmünoloji' kategorizasyonu tam, eksiksiz ve %100 doğrudur."
1392709,TP-2,Zehirli sofralar: Tehlikeli tatlara gastronomik bir bakış,"Antropoloji, Beslenme ve Diyetetik, Folklor",Toksikoloji,RESEARCH_FOCUS,,0,Metin/Gerekçe: Gıdalardaki doğal ve yapay toksinlerin sağlık riskleri analizi; Gastronomi/Beslenme yanına Toksikoloji eklenmelidir.,"Önerilen disiplin ('Toksikoloji'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Gıdalardaki doğal ve yapay toksinlerin sağlık riskleri analizi; Gastronomi/Beslenme yanına Toksikoloji eklenmelidir.
1388561,TP-1,Illegal and Original Toxin Discrimination with the Help of Wood’s Light,Adli Tıp,Toksikoloji,RESEARCH_FOCUS,,0,Metin/Gerekçe: Dermatolojide botulinum toksini (botoks) orijinalliği ve toksin güvenliği analizi; Adli Tıp etiketi kelime tuzağıdır (Toksikoloji doğru).,"Önerilen disiplin ('Toksikoloji'), makalenin research_focus bileşeninden kaynaklanmaktadır.",HIGH,False,,,,Dermatolojide botulinum toksini (botoks) orijinalliği ve toksin güvenliği analizi; Adli Tıp etiketi kelime tuzağıdır (Toksikoloji doğru).
1403660,FP,Kendinden Asitli Primer ve Hidroflorik Asidin Kombine Uygulamasının Rezin Siman ve Polimer İnfiltre Seramik Ağ Materyali Arasındaki Mikrogerilim Bağlanma Dayanımına Etkisi,Diş Hekimliği,Polimer Bilimi,MATERIAL_OBJECT,LEXICAL_SURFACE,1,Metin/Gerekçe: Restoratif/protetik diş hekimliğinde kullanılan hibrit polimer infiltre seramik ağ (PICN) materyali ile rezin siman arasındaki mikrogerilim bağlanma dayanımının,"Önerilen disiplin ('Polimer Bilimi'), makalede incelenen nesne/malzeme/hammadde kaynaklıdır.",HIGH,False,,,,"Restoratif/protetik diş hekimliğinde kullanılan hibrit polimer infiltre seramik ağ (PICN) materyali ile rezin siman arasındaki mikrogerilim bağlanma dayanımının (μTBS), yüzey pürüzlülüğünün (Ra) ve termal siklus yaşlandırma davranışının incelendiği doğrudan bir protetik/restoratif diş hekimliği ve dental materyal araştırmasıdır; çalışmada polimer sentezi veya makromoleküler polimer mühendisliği bulunmayıp hazır dental CAD/CAM bloklarının adeziv simantasyon performansı test edilmiştir. Modelin 'Polimer Bilimi' önerisi dental rezin/polimer terimlerinden kaynaklanan klasik bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' ana disiplini tam, eksiksiz ve doğrudur."
1433874,FP,"Kuzu Pnömonilerinde Respiratorik Sinsityal Virus (Rsv) İle Parainfluenza Tip 3 Virus (Pi3v) Koenfeksiyonlarının Tespiti Ve Cd3+, Cd4+, Cd8+, Cd19+ Lenfositlerin İmmunopatogenezde Rolleri",Veterinerlik,Enfeksiyon Hastalıkları,SAMPLE_POPULATION,CROSS_DOMAIN,1,"Metin/Gerekçe: Kuzularda (4-12 aylık 100 kuzu akciğeri) RSV ve PI3V viral pnömoni koenfeksiyonlarının PCR, immünohistokimya (IHC) ve histopatoloji (HE) ile tespiti ve CD3+, CD","Önerilen disiplin ('Enfeksiyon Hastalıkları'), makalede incelenen hayvan türü / canlı örneklem popülasyonu kaynaklıdır.",MEDIUM,True,SAMPLE_POPULATION,CROSS_DOMAIN,Çalışmanın gözlem ve analiz nesnesi hayvan/canlı türüdür; veterinerlik patolojisi insan klinik tıp alanına transfer edilmiştir (Sample ↔ Cross-domain).,"Kuzularda (4-12 aylık 100 kuzu akciğeri) RSV ve PI3V viral pnömoni koenfeksiyonlarının PCR, immünohistokimya (IHC) ve histopatoloji (HE) ile tespiti ve CD3+, CD4+, CD8+, CD19+ lenfosit alt gruplarının immünopatogenezdeki rollerinin incelendiği doğrudan bir veteriner patoloji, veteriner viroloji ve veteriner immünoloji araştırmasıdır; çalışmada beşeri/insan klinik tıp verisi bulunmayıp modelin 'Enfeksiyon Hastalıkları' (Tıp) önerisi beşeri tıp alanından kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Veterinerlik' ana disiplini tam, eksiksiz ve %100 doğrudur (k-NN yerel uzlaşısı da %40 Viroloji yönündedir)."
1388449,FP,"Simultaneous determination and variability over time of Cr, Cu, Zn, As, Se, Sr, Cd, Sb, Hg, Tl, Pb concentrations in fingernail samples by ICP-MS method","Toksikoloji, Adli Tıp",Diş Hekimliği,NEIGHBORING_DISCIPLINE,,0,Metin/Gerekçe: Tırnak örneklerinde ICP-MS ile ağır metal ve adli maruziyet tayinidir; model keratinize doku analizini hatalı şekilde Diş Hekimliği olarak sınıflandırmıştır (Ad,"Önerilen disiplin ('Diş Hekimliği'), makalenin gerçek alanı ile yakın komşu/kardeş disiplin sınır kaymasıdır.",HIGH,False,,,,Tırnak örneklerinde ICP-MS ile ağır metal ve adli maruziyet tayinidir; model keratinize doku analizini hatalı şekilde Diş Hekimliği olarak sınıflandırmıştır (Adli Toksikoloji/Analitik Kimya konusudur).
