external_id,baslik,mevcut_kategori,oneri_kategori,primary_error,secondary_error,is_boundary_case,boundary_competing_class,boundary_rationale,Manuel_Gerekce
1348463,Yenilebilir Yabani Otların Kullanım Biçimleri ve Yenilebilir Yabani Otlara İlişkin Geleneksel Bilginin Aktarımı: Orta Karadeniz Örneği,"Antropoloji, Beşeri Bilimler, Folklor",Bahçe Bitkileri,Object/material -> discipline confusion,Context/domain transfer,True,Context/domain transfer,Folklorik mutfak kültüründe incelenen yabani otlar hem incelenen hammadde (materyal) hem de etnografik araştırma bağlamıdır.,"Orta Karadeniz'de yenilebilir yabani otların mutfak kültürü, geleneksel bilginin sözlü aktarımı ve folklorik boyutunun 18 katılımcı ile mülakat yapılarak incelendiği nitel bir sosyal bilim/kültür araştırmasıdır; modelin 'Bahçe Bitkileri' (Ziraat) önerisi yabani ot ve etnobotanik terimlerinden kaynaklanan hatalı bir model yanılgısıdır (FP-1). Mevcut 'Antropoloji, Beşeri Bilimler, Folklor' etiketleri tam ve doğrudur."
1422963,Çok ölçekli morfolojik arka plan tahmini ve adaptif histogram modifikasyonu ile tıbbi görüntülerde tübüler yapıların iyileştirilmesi,"Görüntüleme Bilimi ve Fotoğraf Teknolojisi, Mühendislik, Biyotıp",Göz Hastalıkları,Neighboring discipline drift,,False,,,"Tıbbi görüntülerde (anjiyogram ve retina) tübüler damar yapılarının çok ölçekli morfolojik filtreleme ve sigmoid histogram modifikasyonu ile kontrastının artırılmasına yönelik biyomedikal görüntü işleme çalışmasıdır; modelin 'Göz Hastalıkları' (Tıp) önerisi retina test veri setinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Görüntüleme Bilimi ve Fotoğraf Teknolojisi, Biyotıp Mühendisliği' etiketleri doğru ve yeterlidir."
1404477,İki Farklı Yöntemle Uygulanan Sitrik Asidin Pürüzlendirilmiş ve Pürüzlendirilmemiş Titanyum Yüzeylerinde Neden Olduğu Fiziksel Değişimler,Diş Hekimliği,Hücre ve Doku Mühendisliği,Object/material -> discipline confusion,Keyword / surface-form trap,False,,,Diş hekimliğinde kullanılan titanyum implant yüzeylerinin sitrik asit dekontaminasyonu sonrası yüzey pürüzlülüğü ve temas açısı (ıslanabilirlik) değişimlerinin incelendiği dental implantoloji ve biyomalzeme yüzey karakterizasyonu çalışmasıdır; çalışmada hücre kültürü veya doku iskelesi bulunmayıp modelin 'Hücre ve Doku Mühendisliği' önerisi biyofilm ve yüzey modifikasyonu terimlerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Diş Hekimliği' etiketi doğrudur.
1388449,"Simultaneous determination and variability over time of Cr, Cu, Zn, As, Se, Sr, Cd, Sb, Hg, Tl, Pb concentrations in fingernail samples by ICP-MS method","Toksikoloji, Adli Tıp",Diş Hekimliği,Neighboring discipline drift,,False,,,Tırnak örneklerinde ICP-MS ile ağır metal ve adli maruziyet tayinidir; model keratinize doku analizini hatalı şekilde Diş Hekimliği olarak sınıflandırmıştır (Adli Toksikoloji/Analitik Kimya konusudur).
1454381,KAPADOKYA KIRSALINDA BİR YERLEŞİM MONOGRAFİSİ: GÖRE BELDESİ’NİN MİMARİ VE KÜLTÜREL MİRASI,Mimarlık,"Ziraat, Toprak Bilimi",Context/domain transfer,Keyword / surface-form trap,False,,,"Kapadokya Göre beldesinin geleneksel kırsal mimarisi, kaya oyma/yığma yapı teknikleri ve mimari belgelemesidir; modelin 'Ziraat, Toprak Bilimi' önerisi metindeki 'kırsal zirai yapılar/ambar' ve 'volkanik tüf/topoğrafya' ifadelerinden kaynaklanan hatalı bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut Mimarlık etiketi tam ve doğrudur."
1393862,Modeling Early Growth of Honamlı Kids Using Nonlinear Growth Curves,Ziraat Mühendisliği,Pediatri,Polysemy / sense confusion,Cross-domain transfer,True,Keyword / surface-form trap,İngilizce 'kids' sözcüğü hem leksikal çok anlamlılık (oğlak/çocuk) hem de yüzeyel sözcük tuzağı olarak yorumlanabilir; ayrıca hayvan verisinin pediatriye aktarılması cross-domain boyutu da taşır.,"Honamlı keçisi oğlaklarında (Honamlı kids) canlı ağırlık artışı ve erken dönem büyüme dinamiklerinin doğrusal olmayan büyüme eğrileri (Gompertz, Lojistik vb.) ile modellenmesine dayalı bir Zootekni/Ziraat Mühendisliği çalışmasıdır; modelin 'Pediatri' (Çocuk Sağlığı) önerisi İngilizce 'kids' (oğlak/çocuk) ve 'early growth' kelimelerinin çok anlamlılığından kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Ziraat Mühendisliği' etiketi tam ve doğrudur."
1453957,Potentials of Avocado Pear Seed Meal as Replacement for Maize in the Diets of Starter Local Turkeys,Veterinerlik,Gıda Bilimi ve Teknolojisi,Neighboring discipline drift,Keyword / surface-form trap,False,,,"Hindi yavrularında (starter local turkeys) rasyona katılan avokado çekirdeği ununun büyüme performansı, karkas verimi ve organ ağırlıklarına etkisinin incelendiği bir hayvan besleme ve rasyon (Veterinerlik/Zootekni) çalışmasıdır; modelin 'Gıda Bilimi ve Teknolojisi' önerisi rasyon bileşimi ve fitokimyasal besin analiz terimlerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Veterinerlik' etiketi tam ve doğrudur."
1368767,Bilgi ve Belge Yönetimi Bölümü Öğrencilerinin Yapay Zekâ Okuryazarlığı Düzeyleri Üzerine Bir Araştırma,"Bilgi, Belge Yönetimi","Bilgisayar Bilimleri, Yapay Zeka",Research topic -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Başlıktaki 'yapay zekâ' veya 'robot' ifadesi hem bir kelime tuzağı hem de sosyal bilimin teknik araştırma konusunu incelemesinden kaynaklanan epistemik karışmadır.,"Bilgi ve Belge Yönetimi (BBY) bölümü lisans öğrencilerinin yapay zekâ okuryazarlık ve farkındalık düzeylerinin ölçek/anket yöntemiyle incelendiği nicel bir sosyal bilim/kütüphanecilik araştırmasıdır; çalışmada YZ algoritması geliştirme veya teknik mühendislik bulunmayıp modelin 'Bilgisayar Bilimleri, Yapay Zeka' (Mühendislik) önerisi başlıktaki ve anketteki 'yapay zekâ' teriminden kaynaklanan klasik bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Bilgi, Belge Yönetimi' etiketi tam ve doğrudur."
1443950,BEBEKLERİMİZİ BÖYLE BESLERİZ: TÜRKİYE'DE BEBEK MAMASI REKLAMLARINDA NEOLİBERAL ANNELİK,İletişim,Kadın Hastalıkları ve Doğum,Keyword / surface-form trap,,True,Context/domain transfer,"Doğum âdeti, doğum izni veya bebek beslenmesi sosyal yaşam bağlamıdır; ancak 'doğum/bebek' kelimesi tek başına tıp branşını tetikleyen sözcük tuzağıdır.","Türkiye'deki bebek maması televizyon reklamlarının Foucaultcu yönetimsellik kuramı ve tematik söylem analiziyle incelendiği bir medya, reklam ve iletişim çalışmaları araştırmasıdır; çalışmada klinik obstetrik/jinekoloji veya medikal tedavi bulunmayıp modelin 'Kadın Hastalıkları ve Doğum' (Tıp) önerisi başlıktaki ve özetteki 'bebek/annelik/besleme' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'İletişim' etiketi tam ve doğrudur."
1345007,"Web Tabanlı Uygulamaya Dayalı Temel Yaşam Desteği Eğitiminin Algılanan Öğrenme, Bilgi, Memnuniyet ve Özgüven Üzerindeki Etkisi: Bir Karma Yöntem Çalışması","Tıbbi Etik, Hemşirelik","Bilgisayar Bilimleri, Bilgi Sistemleri",Context/domain transfer,Keyword / surface-form trap,False,,,"Hemşirelik öğrencilerine yönelik web tabanlı temel yaşam desteği (CPR) simülasyon eğitiminin öğrenme çıktıları, bilgi düzeyi, memnuniyet ve özgüven üzerindeki etkilerinin ön-son test ve karma yöntemle incelendiği bir hemşirelik eğitimi araştırmasıdır; çalışmada yazılım mimarisi veya bilişim mühendisliği geliştirimi bulunmayıp modelin 'Bilgisayar Bilimleri, Bilgi Sistemleri' önerisi başlıktaki ve özetteki 'web tabanlı / bilgisayar destekli' ifadelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Hemşirelik' etiketi geçerlidir."
1445833,International Carriage of Goods Contracts Defeated by Coronavirus: An Attempt to Identify Carrier’s Liability through Multinational Carriage of Goods Conventions,"Taşınım Bilimi ve Teknolojisi, Hukuk",Viroloji,Context/domain transfer,Keyword / surface-form trap,True,Keyword / surface-form trap,Covid-19 salgını hukuki olay bağlamıdır; metindeki 'Coronavirus' kelimesi de Viroloji önerisini tetikleyen anahtar kelimedir.,"Covid-19 pandemisi kaynaklı sınır kapanmaları ve karantina tedbirlerinin uluslararası eşya taşıma sözleşmelerine etkisi ile taşıyıcının uluslararası konvansiyonlar çerçevesindeki hukuki sorumluluğunun incelendiği bir taşıma hukuku ve uluslararası lojistik/ulaştırma araştırmasıdır; çalışmada viral patogenez veya viroloji laboratuvarı analizi bulunmayıp model ve k-NN'in 'Viroloji' önerisi metindeki 'Coronavirus/Covid-19' ifadelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Taşınım Bilimi ve Teknolojisi, Hukuk' etiketleri tam ve doğrudur."
1387800,Leveraging machine learning to assess the environmental impact of food production: A comparative analysis of carbon footprints,Çevre Mühendisliği,Tarımsal Ekonomi ve Politika,Method -> discipline confusion,Neighboring discipline drift,True,Neighboring discipline drift,Çevre mühendisliği makalesinde Random Forest yöntemi kullanılmıştır; modelin Tarımsal Ekonomi önerisi hem yöntem hem çevre-tarım politika sınır kaymasıdır.,Gıda üretiminin karbon ayak izi ve sera gazı emisyonlarının makine öğrenmesi (Random Forest) regresyon modelleri ile tahmin edildiği bir çevre mühendisliği ve veri bilimi çalışmasıdır; modelin 'Tarımsal Ekonomi ve Politika' önerisi 'policymakers' ve gıda sistemleri ifadelerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Çevre Mühendisliği' etiketi doğru ve yerindedir (k-NN bilişim/makine öğrenmesi boyutunu yakalamıştır).
1400625,"PSYLLİUM, BEZELYE VE YULAF KAYNAKLI BESİNSEL LİF İLAVESİNİN AYRANDA AROMA GELİŞİMİ VE DUYUSAL KARAKTERİSTİKLERİ ÜZERİNE ETKİSİ","Gıda Bilimi ve Teknolojisi, Beslenme ve Diyetetik",Toksikoloji,Neighboring discipline drift,Keyword / surface-form trap,True,Keyword / surface-form trap,"Gıda kimyası ile toksikoloji komşudur; uçucu aroma kimyasalları (etanol, asetaldehit) toksikoloji terimi tuzağı kurmuştur.","Ayran üretiminde fonksiyonel diyet lifi (psyllium, bezelye, yulaf) ilavesinin depolama süresince aroma bileşikleri (asetaldehit, diasetil), renk (L*, a*, b*) ve duyusal özelliklere etkisinin incelendiği bir gıda teknolojisi ve fonksiyonel beslenme çalışmasıdır; modelin 'Toksikoloji' önerisi uçucu aroma kimyasalları (etanol, asetaldehit) terimlerinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Gıda Bilimi ve Teknolojisi, Beslenme ve Diyetetik' etiketleri tam ve doğrudur."
1451106,Water-driven reactivation of photosystem II in Plagiochasma appendiculatum,Bitki Bilimleri,Deniz ve Tatlı Su Biyolojisi,Keyword / surface-form trap,Neighboring discipline drift,False,,,Kurumaya dayanıklı bir karasal ciğerotu/karayosunu (Plagiochasma appendiculatum) türünde su alımıyla (rehidrasyon) Fotosistem II aktivasyonunun klorofil a floresans kinetiğiyle incelendiği bir bitki fizyolojisi ve biyofizik çalışmasıdır; organizma karasal bir briyofit olup modelin 'Deniz ve Tatlı Su Biyolojisi' önerisi başlıktaki ve özetteki 'water/rehydration' kelimelerinden kaynaklanan bir model yanılgısıdır (FP-1; nitekim k-NN genel Biyoloji demiştir). Mevcut 'Bitki Bilimleri' etiketi tam ve doğrudur.
1341217,Portatif sagital plan omurga  eğriliği ölçüm sistemi tasarımı ve ön değerlendirmesi,"Biyofizik, Sağlık Bilimleri ve Hizmetleri",Oşinografi,Semantic hub / unrelated semantic drift,,True,Method -> discipline confusion,Tıbbi biyofizik ve biyomekanik omurga çalışması Oşinografi hub'ına çekilmiştir; kullanılan simülasyon/ölçüm metodolojisinin hub çekimine katkısı mevcuttur.,"Torakal ve lomber omurga eğriliğini deri üzerinden ölçen radyasyonsuz, bilgisayar destekli portatif biyomedikal cihaz/prototip (OmÖS) tasarımı ve gonyometre karşılaştırmalı doğrulama çalışmasıdır; modelin tamamen alakasız şekilde 'Oşinografi' (Okyanus/Deniz Bilimi) önermesi bariz bir model halüsinasyonudur (FP-1; nitekim k-NN Mühendislik demiştir). Mevcut 'Biyofizik, Sağlık Bilimleri ve Hizmetleri' etiketleri geçerlidir."
1443940,İLETİŞİM ARAŞTIRMALARINDA DİJİTAL SİMÜLASYON YAKLAŞIMLARI: SİSTEMATİK BİR İNCELEME,İletişim,"Bilgisayar Bilimleri, Yapay Zeka",Method -> discipline confusion,,False,,,"İletişim bilimlerinde dijital simülasyon yöntemlerinin araştırma metodolojisi olarak kullanım olanaklarını inceleyen sistematik bir sosyal bilim/içerik analizi derlemesidir; metinde yapay zekâ, makine öğrenmesi ve yapay sinir ağlarının açıkça 'kapsam dışı bırakıldığı' belirtilmesine rağmen model bu kavramları algılayarak 'Bilgisayar Bilimleri, Yapay Zeka' önerisinde bulunmuştur (FP-1 model yanılgısı). Mevcut 'İletişim' etiketi tam ve doğrudur."
1393716,Yüksekten Düşme Sendromlu Kedilerde Klinik ve Nörolojik Bulguların Retrospektif Değerlendirilmesi: 174 Olgu,Veterinerlik,Klinik Nöroloji,Cross-domain transfer,Keyword / surface-form trap,False,,,"Atatürk Üniversitesi Veteriner Fakültesi Hayvan Hastanesi'ne getirilen yüksekten düşme sendromlu kedilerde nörolojik durumun (Modifiye Glasgow Koma Ölçeği), travma ve komplikasyonların incelendiği bir veteriner klinik/cerrahi araştırmasıdır; modelin insan tıbbına ait 'Klinik Nöroloji' (Tıp) önerisi klinik/nörolojik terimlerden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'Veterinerlik' etiketi tam ve doğrudur."
1147576,Markovian embedding of generalized Langevin equations with a nonlinear friction kernel and configuration-dependent mass,"Fizikokimya, Biyofizik","Mühendislik, Makine",Neighboring discipline drift,Keyword / surface-form trap,False,,,"Doğrusal olmayan sürtünme çekirdeği ve konfigürasyona bağlı kütleye sahip genelleştirilmiş Langevin denklemlerinin projeksiyon operatörüyle Markovyen gömülmesini inceleyen doğrudan bir istatistiksel fizik, stokastik süreçler ve fizikokimyasal moleküler dinamik araştırmasıdır; çalışmada mekanik tasarım, makine imalatı veya triboloji bulunmayıp modelin 'Mühendislik, Makine' önerisi 'mass, force, friction' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Fizikokimya, Biyofizik' etiketleri ile k-NN'in işaret ettiği Fizik alanı araştırmayı tam ve doğru karşılamaktadır."
1430807,ROBOT VERGİSİNİN UYGULANABİLİRLİĞİ ÜZERİNE BİR İNCELEME,İktisat,Robotik,Research topic -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Başlıktaki 'yapay zekâ' veya 'robot' ifadesi hem bir kelime tuzağı hem de sosyal bilimin teknik araştırma konusunu incelemesinden kaynaklanan epistemik karışmadır.,"Endüstri 4.0 ve otomasyonun iş gücü piyasaları, gelir dağılımı, kamu maliyesi ve vergi gelirleri üzerindeki etkileri ile 'robot vergisi' maliye politikasının uygulanabilirliğinin incelendiği doğrudan bir kamu maliyesi, vergi hukuku ve iktisat araştırmasıdır; çalışmada robot kinematiği, mekanik tasarım, donanım veya kontrol mühendisliği bulunmayıp modelin 'Robotik' (Fen/Mühendislik) ve k-NN'in 'Bilgisayar Bilimleri' önerisi metindeki 'robot/otomasyon' kelimelerinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'İktisat' (Maliye) etiketi tam ve doğrudur."
1403071,Onarım Tercih Oranı: AB Ülkelerinde Onarım Hizmetleri Talebinin Analizi,İktisat,Telekomünikasyon,Context/domain transfer,Keyword / surface-form trap,False,,,"19 AB üyesi ülkede elektronik ürünlerin onarım hizmetleri talebi ve tüketici tercihlerinin Sistem GMM Dinamik Panel Ekonometri yöntemiyle modellendiği bir mikroiktisat, çevre iktisadı ve tüketici talebi araştırmasıdır; çalışmada telekomünikasyon şebekesi, haberleşme veya donanım mühendisliği bulunmayıp modelin 'Telekomünikasyon' (Mühendislik) önerisi özetteki 'elektronik ürünler' ifadesinden kaynaklanan bir model yanılgısıdır (FP-1). Mevcut 'İktisat' etiketi tam ve doğrudur."
1260203,"Er,Cr:YSGG Lazer Debonding'in Yaşlandırılmış ve Yaşlandırılmamış Lityum Disilikat Seramiklerin Mekanik Özelliklerine Etkisi","Diş Hekimliği, Kimya, Tıbbi, Mikroskopi, Spektroskopi",Metalürji Mühendisliği,Object/material -> discipline confusion,Keyword / surface-form trap,False,,,"Diş hekimliğinde protetik restorasyonda kullanılan lityum disilikat cam seramiklerin lazer debonding sonrası mekanik ve morfolojik (üç nokta eğme, Vickers, AFM, FESEM) özelliklerinin test edilmesidir; incelenen malzeme inorganik cam seramik olup metal içermez, modelin 'Metalürji Mühendisliği' önerisi malzeme test terimlerinden kaynaklanan bir model yanılgısıdır (FP-1; nitekim k-NN Malzeme Bilimleri demiştir). Mevcut Diş Hekimliği etiketi doğrudur."
1389453,YAPAY ZEKÂ VE SİYASET: DİJİTAL ÇAĞDA SİYASAL DÖNÜŞÜM,"Bilim Felsefesi ve Tarihi, Siyasi Bilimler","Bilgisayar Bilimleri, Yapay Zeka",Research topic -> discipline confusion,Keyword / surface-form trap,True,Keyword / surface-form trap,Başlıktaki 'yapay zekâ' veya 'robot' ifadesi hem bir kelime tuzağı hem de sosyal bilimin teknik araştırma konusunu incelemesinden kaynaklanan epistemik karışmadır.,"Yapay zekâ teknolojilerinin yönetişim, demokratik meşruiyet, dezenformasyon/kamuoyu manipülasyonu, dijital diplomasi ve jeopolitik güç dengeleri üzerindeki etkilerinin incelendiği doğrudan bir siyaset bilimi, uluslararası ilişkiler ve siyaset felsefesi araştırmasıdır; çalışmada algoritma geliştirme, yapay zekâ model eğitimi veya yazılım kodlaması bulunmayıp model ve k-NN'in 'Bilgisayar Bilimleri, Yapay Zeka' önerisi başlıktaki 'Yapay Zekâ' kelimesinden kaynaklanan bariz bir kelime tuzağı ve model yanılgısıdır (FP-1). Mevcut 'Bilim Felsefesi ve Tarihi, Siyasi Bilimler' etiketleri tam ve doğrudur."
1326235,Soyut ve Somut Kültürel Miras Olarak Topkapı Sarayı Mutfakları –Matbah-ı Amire,"Beşeri Bilimler, Sosyoloji","Mühendislik, Deniz",Semantic hub / unrelated semantic drift,,False,,,"Topkapı Sarayı Matbah-ı Amire yapılarının mimari düzeni, Mimar Sinan restorasyonları, mekânsal işlevleri ve Osmanlı saray yemek kültürünün somut/soyut kültürel miras kapsamında incelendiği bir mimarlık tarihi ve beşeri bilimler araştırmasıdır; çalışmada deniz teknolojisi bulunmayıp modelin 'Mühendislik, Deniz' önerisi bariz bir model halüsinasyonudur (FP-1; nitekim k-NN Mimarlık demiştir). Mevcut Beşeri Bilimler / Sosyal Bilimler etiketleri geçerlidir."
