external_id,embedding_row,UMAP_1,UMAP_2,Ana_Konu,main_level_2_predictions,leaf_predictions,true_subjects,title,doi,language
1392850,13117,5.1714077,1.2088209,Fen > Tıp,Fen > Tıp,Ortopedi || Anestezi,Fen > Tıp > Anestezi || Fen > Tıp > Ortopedi,Different local anesthetic volumes in pericapsular nerve group block for hip fracture patients,10.55730/1300-0144.6038,ENG
434434,20735,3.3789263,6.5958037,Fen > Temel Bilimler,Fen > Temel Bilimler,Su Kaynakları,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi || Fen > Temel Bilimler > Ekoloji || Fen > Temel Bilimler > Limnoloji || Fen > Temel Bilimler > Su Kaynakları || Fen > Temel Bilimler > Çevre Bilimleri,Ilıman Bir Türkiye Nehir Havzasında Dere Su Kalitesinin Çok Değişkenli Analiz ve Biyolojik Yaklaşımlarla Değerlendirilmesi,10.22392/actaquatr.751773,TUR
1293293,2520,9.2168865,7.1030927,Sosyal > Sosyal,Sosyal > Sosyal,Edebiyat || Tiyatro,Sosyal > Sosyal > Asya Çalışmaları || Sosyal > Sosyal > Edebiyat || Sosyal > Sosyal > Uluslararası İlişkiler,İran’ın 19. yüzyıl Fransız edebiyatındaki yeri,10.33201/iranian.1589772,TUR
1402615,17300,7.0527945,7.562481,Sosyal > Sosyal,Sosyal > Sosyal,Uluslararası İlişkiler,Sosyal > Sosyal > Tarih || Sosyal > Sosyal > Uluslararası İlişkiler,Dış Politika Aracı Olarak İstihbarat: İkinci Dünya Savaşı Döneminde Tarafsız Türkiye’de CIA’nın Öncülü OSS’nin Operasyonları,10.24186/vakanuvis.1794582,TUR
1235599,862,8.204233,5.853739,Sosyal > Sosyal,Sosyal > Sosyal,Sanat || İletişim,"Fen > Mühendislik > Bilgisayar Bilimleri, Bilgi Sistemleri || Fen > Mühendislik > Bilgisayar Bilimleri, Donanım ve Mimari || Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik || Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar || Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka || Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği || Sosyal > Sosyal > Bilgi, Belge Yönetimi",21. Yüzyılda Karşı Sanat Anlayışı Olarak Glitch,10.17484/yedi.1219249,TUR
1396561,14663,4.4040527,6.6185694,Fen > Mühendislik,Fen > Mühendislik || Sosyal > Sosyal || Fen > Ziraat,"Yeşil, Sürdürülebilir Bilim ve Teknoloji || Beslenme ve Diyetetik || Tarımsal Ekonomi ve Politika",Fen > Mühendislik > Enerji ve Yakıtlar || Fen > Ziraat > Ziraat Mühendisliği || Sosyal > Sosyal > Beslenme ve Diyetetik,Benefits of dietary diversity for energy conservation and food security,10.58559/ijes.1783054,ENG
1347356,5246,5.5467157,4.282009,Sosyal > Sosyal,Sosyal > Sosyal || Fen > Tıp,Sağlık Politikaları ve Hizmetleri || Geriatri ve Gerontoloji || Halk ve Çevre Sağlığı,Fen > Tıp > Halk ve Çevre Sağlığı || Fen > Tıp > Temel Sağlık Hizmetleri || Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,DEMOKRAT PARTİ HÜKÜMETLERİ SALGIN TEDBİRLERİ:  VEREMLE MÜCADELE (1950-1960),10.56694/karadearas.1685731,TUR
1336383,4399,8.027859,7.7993155,Sosyal > Sosyal,Sosyal > Sosyal,Tarih || Antropoloji,Sosyal > Sosyal > Antropoloji || Sosyal > Sosyal > Beşeri Bilimler || Sosyal > Sosyal > Edebiyat,Edirne Gagauzları,10.12995/bilig.8080.,TUR
1341424,4723,5.8489366,5.645193,Sosyal > Sosyal,Sosyal > Sosyal,"Bilgi, Belge Yönetimi","Sosyal > Sosyal > Bilgi, Belge Yönetimi || Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm || Sosyal > Sosyal > İşletme",Şarap Turizmi Çalışmalarının Bibliyometrik Analizi: Web of Science Örneği,10.21076/vizyoner.1560262,TUR
1399258,15756,3.816308,1.0557522,Fen > Tıp,Fen > Tıp,"Kulak, Burun, Boğaz || Mikrobiyoloji",Fen > Tıp > Klinik Nöroloji || Fen > Tıp > Nörolojik Bilimler,Uzamsal İhmal Olmadan Yüz Hipoşeması,10.29399/npa.29070,TUR
1367912,7728,0.83251894,6.4244885,Fen > Temel Bilimler,Fen > Temel Bilimler,"Kimya, Tıbbi || Kimya, Uygulamalı || Kimya, Analitik","Fen > Mühendislik > Enerji ve Yakıtlar || Fen > Mühendislik > Mühendislik, Kimya || Fen > Ziraat > Bitki Bilimleri",AYÇİÇEK EKSTRAKSİYON KÜSPESİNİN PROLİZİNDEN ELDE EDİLEN ALİFATİK BİLEŞİKLERİN KARAKTERİZASYONU,10.31796/ogummf.1794100,TUR
1348459,5365,6.866978,6.8291774,Sosyal > Sosyal,Sosyal > Sosyal,Nüfus İstatistikleri Bilimi || Tarih,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi || Sosyal > Sosyal > Tarih,Cumhuriyetin İlk Nüfus Sayımına Göre Tokat’ın Demografik Yapısı (1927),10.32709/akusosbil.1669000,TUR
508528,20823,1.4573334,9.440873,Fen > Temel Bilimler,Fen > Temel Bilimler,"Fizik, Partiküller ve Alanlar || Fizik, Katı Hal || Fizik, Atomik ve Moleküler Kimya","Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya || Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar || Fen > Temel Bilimler > Fizik, Uygulamalı",An Investigation on Electric Dipole Transitions of Pt LXVII,10.16984/saufenbilder.1020582,ENG
1140115,58,4.2652326,8.5247135,Fen > Mühendislik,Fen > Mühendislik,"Bilgisayar Bilimleri, Yapay Zeka || Bilgisayar Bilimleri, Yazılım Mühendisliği","Fen > Mühendislik > Bilgisayar Bilimleri, Teori ve Metotlar || Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka || Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği || Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma || Fen > Temel Bilimler > Fizik, Uygulamalı || Fen > Temel Bilimler > Termodinamik",SIKIŞTIRILAMAZ ISIL TAŞINIM PROBLEMLERİNİN FİZİKLE ÖĞRENEN YAPAY SİNİR AĞLARI İLE ÇÖZÜMÜ,10.47480/isibted.1194992,TUR
1393560,13530,4.1015577,1.325818,Fen > Tıp,Fen > Tıp,Nörolojik Bilimler || Tıbbi Araştırmalar Deneysel || Klinik Nöroloji,Fen > Tıp > Geriatri ve Gerontoloji || Fen > Tıp > Klinik Nöroloji,Successful treatment of an older patient with delayed neurological sequelae and delirium after carbon monoxide poisoning with memantine,10.4274/gulhane.galenos.2025.12989,ENG
1393201,13366,7.41444,6.5285187,Sosyal > Sosyal,Sosyal > Sosyal,Hukuk,Sosyal > Sosyal > Hukuk || Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,Türk Ceza Kanununun 212. Maddesindeki İçtima Kuralının Vergi Usul Kanununun 359. Maddesine Uygulanabilirliği Sorunu,10.33432/ybuhukuk.1802798,TUR
1356097,6222,9.233011,7.106435,Sosyal > Sosyal,Sosyal > Sosyal,Edebiyat || Tarih,Sosyal > Sosyal > Edebi Teori ve Eleştiri || Sosyal > Sosyal > Edebiyat,Cengiz Aytmatov’un Eserlerinde Ütopya ve Distopya,10.24155/tdk.2025.263,TUR
1355366,6125,9.426269,6.9302883,Sosyal > Sosyal,Sosyal > Sosyal,Edebiyat || Felsefe,Sosyal > Sosyal > Edebiyat || Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları,Vladimir Odoyevskiy’in Kadın Sorunsalı Üzerine İki Analojik Öyküsü: “Knyajna Mimi” ve “Knyajna Zizi”,10.29110/soylemdergi.1611248,TUR
1208944,397,2.7938423,5.184954,Fen > Temel Bilimler,Fen > Temel Bilimler,Entomoloji,"Fen > Temel Bilimler > Biyoloji || Fen > Temel Bilimler > Kimya, Analitik || Fen > Temel Bilimler > Kuş Bilimi || Fen > Temel Bilimler > Su Kaynakları || Fen > Temel Bilimler > Zooloji || Fen > Tıp > Tamamlayıcı ve Entegre Tıp","Arı Merası ve Yayladan Elde Edilen Bal, Polen ve Propolis Miktarları ile Bal Kalitesinin Karşılaştırılması",10.31467/uluaricilik.1344339,TUR
1396928,14790,3.460102,1.081044,Fen > Tıp,Fen > Tıp,"Mikrobiyoloji || Kulak, Burun, Boğaz || Cerrahi","Fen > Tıp > Kulak, Burun, Boğaz || Fen > Tıp > Onkoloji || Fen > Tıp > Patoloji",Oncocytic Sialolipoma of the Submandibular Gland: Case Report and Literature Review,10.4274/tao.2025.2025-9-13,ENG
1409732,19004,7.309691,7.0610685,Sosyal > Sosyal,Sosyal > Sosyal,Siyasi Bilimler || Kamu Yönetimi || Uluslararası İlişkiler,Sosyal > Sosyal > Siyasi Bilimler || Sosyal > Sosyal > Tarih,Cumhuriyet Halk Partisi İstanbul Teşkilatından Genel Merkeze Gelen Siyasi Şikâyetler (1948-1950),10.32739/uskudarsbd.12.22.173,TUR
1394258,13858,4.346449,2.5747383,Fen > Tıp,Fen > Tıp,Anestezi || Cerrahi,Fen > Tıp > Cerrahi || Fen > Tıp > Gastroenteroloji ve Hepatoloji || Fen > Tıp > Pediatri,Safety and Efficacy of Early versus Conventional Enteral Feeding after Colostomy Closure in Children with High Anorectal Malformation,10.4274/jpr.galenos.2026.42402,ENG
1407314,18940,4.756153,2.2783852,Fen > Tıp,Fen > Tıp,Kalp ve Kalp Damar Sistemi || Tıbbi İnformatik,Fen > Tıp > Kalp ve Kalp Damar Sistemi || Fen > Tıp > Tıbbi İnformatik,Digital Health and Remote Patient Monitoring in Heart Failure: From Pathophysiology to Value-Based Care in Emerging Health Systems,10.4274/balkanmedj.galenos.2026.2026-1-250,ENG
1453964,20663,8.505705,6.2829757,Sosyal > Sosyal,Sosyal > Sosyal,"Sanat || Felsefe || Film, Radyo, Televizyon",Sosyal > Sosyal > Dil ve Dil Bilim || Sosyal > Sosyal > Sosyoloji,Toplumu Anlatmak: Bir Çoklugösterge Dizgesinden Diğerine Kasıtlı ve Rastlantısal Aktarımlar,10.53791/imgelem.1853674,TUR
1385383,10985,6.5962152,0.5715588,Fen > Tıp,Fen > Tıp || Fen > Temel Bilimler,Tamamlayıcı ve Entegre Tıp || Viroloji,"Fen > Temel Bilimler > Kimya, Uygulamalı || Fen > Tıp > Tamamlayıcı ve Entegre Tıp || Fen > Tıp > Tıbbi Araştırmalar Deneysel",Herbal product and dietary supplement use for SARS- CoV-2: A descriptive survey from Türkiye,10.12991/jrespharm.1659336,ENG
1389373,11925,1.6714699,5.5087323,Fen > Mühendislik,Fen > Mühendislik || Fen > Temel Bilimler,Gıda Bilimi ve Teknolojisi || Biyoloji,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi || Fen > Mühendislik > Nanobilim ve Nanoteknoloji || Fen > Temel Bilimler > Mikroskopi,Antioksidan ve Antimikrobiyal Yüklenmiş Nanolipozom Taşıyıcılar Kullanılarak Bifonksiyonel Yenilebilir Vişne Proteini Filmlerin Geliştirilmesi,,TUR
1379557,9655,4.6473303,8.056295,Fen > Mühendislik,Fen > Mühendislik,"Endüstri Mühendisliği || Bilgisayar Bilimleri, Yazılım Mühendisliği || Mühendislik, Elektrik ve Elektronik",Fen > Mühendislik > Endüstri Mühendisliği,ÇOKLU DEPOLAMA SİSTEMİNE SAHİP BİR LOJİSTİK FİRMASINDA TIR YÜKLEME OPERASYONLARININ PLANLAMASI: ESNEK ATÖLYE ÇİZELGELEME TABANLI BİR MODEL VE SEZGİSEL ALGORİTMALAR,10.46465/endustrimuhendisligi.1755558,TUR
1244995,1093,8.145414,5.867036,Sosyal > Sosyal,Sosyal > Sosyal || Fen > Mühendislik,"Felsefe || Bilgisayar Bilimleri, Yapay Zeka || Mantık",Fen > Temel Bilimler > Astronomi ve Astrofizik || Sosyal > Sosyal > Bilim Felsefesi ve Tarihi || Sosyal > Sosyal > Tarih,Philo-Sophos’tan Uzman Sistemlere,,TUR
1374720,8795,5.5041423,4.4662504,Sosyal > Sosyal,Sosyal > Sosyal,Sağlık Politikaları ve Hizmetleri || Dil ve Dil Bilim,Fen > Tıp > Biyokimya ve Moleküler Biyoloji || Sosyal > Sosyal > Bilim Felsefesi ve Tarihi || Sosyal > Sosyal > Edebiyat,KLASİK TÜRK ŞİİRİNDE TIBBİ BİLGİ VE ŞİFA SEMBOLLERİ: NİZÂMÜ’L-EDVİYE ÖRNEĞİ,10.12981/mahder.1619343,TUR
1377086,9202,9.163158,7.385891,Sosyal > Sosyal,Sosyal > Sosyal,Edebiyat || Din Bilimi,"Sosyal > Sosyal > Felsefe || Sosyal > Sosyal > Film, Radyo, Televizyon",Mevlana’yı Anlatmak: Batı Sinemasında Mevlâna Temsilleri Üzerine Bir İnceleme,10.56676/kiad.1770912,TUR
1447160,20135,3.0239432,5.206469,Fen > Temel Bilimler,Fen > Temel Bilimler || Fen > Ziraat,Entomoloji || Ekoloji || Bitki Bilimleri,Fen > Temel Bilimler > Entomoloji || Fen > Ziraat > Bitki Bilimleri,"Abundance Patterns of the Wheat Aphid, Sitobion avenae (F.) (Hemiptera: Aphididae) and Beneficial Insects in Wheat Field",10.15832/ankutbd.1743480,ENG
1390907,12408,3.0352838,2.5977848,Fen > Tıp,Fen > Tıp,Androloji || Geriatri ve Gerontoloji || Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Kadın Hastalıkları ve Doğum || Fen > Tıp > Tıbbi Araştırmalar Deneysel,"Doğal yaşlanan farelerde gen ifadesi ve FSH, IL-10 ve TNF-α düzeyleri ile histolojik boyama üzerine bir ön araştırma",10.4274/tjod.galenos.2026.94515,TUR
1366331,7421,1.0772446,8.038587,Fen > Mühendislik,Fen > Mühendislik || Fen > Temel Bilimler,"Nanobilim ve Nanoteknoloji || Metalürji Mühendisliği || Kimya, Analitik","Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test || Fen > Mühendislik > Mühendislik, Kimya",Elektrokimyasal olarak farklı akım yoğunluklarında çinko kaplanan karbon çeliğin klorürlü çözeltilerdeki korozyon davranışının incelenmesi,10.17714/gumusfenbil.1780519,TUR
1403180,17549,6.0056467,10.156197,Fen > Mühendislik,Fen > Mühendislik,İnşaat Mühendisliği,Sosyal > Sosyal > Psikoloji || Sosyal > Sosyal > Sosyal Çalışma,AFET VE YAS’IN KESİŞİMSELLİĞİ: DEPREMDE HAYATTA KALAN VE EŞİNİ KAYBEDİP KONTEYNER KENTTE YAŞAYAN BİREYLERİN YAŞAMLARINDAN YANSIMALAR,10.14520/adyusbd.1854133,TUR
1393920,13730,5.8542323,9.952378,Fen > Mühendislik,Fen > Mühendislik,İnşaat Mühendisliği,"Fen > Mühendislik > Mühendislik, Jeoloji || Fen > Mühendislik > Çevre Mühendisliği || Fen > Mühendislik > İnşaat Mühendisliği","Liquefaction, Building Response, and Seismic Settlement Mechanisms in the Adapazarı Basin",10.34248/bsengineering.1863508,ENG
1381096,9934,5.0702934,1.5602492,Fen > Tıp,Fen > Tıp,"Anestezi || Anatomi ve Morfoloji || Kulak, Burun, Boğaz","Fen > Tıp > Kulak, Burun, Boğaz",Koklear İmplantasyonda Subperiostal Cep Tekniğinin Aşamalı Standardizasyonu: Cerrahi Verimlilik ve Tutarlılık Üzerine Etkileri,10.12996/gmj.2025.4589,TUR
1401895,16973,6.5115047,3.5802445,Fen > Tıp,Fen > Tıp || Sosyal > Sosyal,"Psikiyatri || Psikoloji || Eğitim, Eğitim Araştırmaları",Fen > Tıp > Tamamlayıcı ve Entegre Tıp || Sosyal > Sosyal > Psikoloji,Travmatik Yas Yaşayan İki Üniversite Öğrencisinde Sanat Terapisinin Etkinliği: Olgu Sunumu,10.34108/eujhs.1782032,TUR
1389849,12075,7.3710957,4.348477,Fen > Tıp,Fen > Tıp || Sosyal > Sosyal,Psikiyatri || Psikoloji || Nörolojik Bilimler,Fen > Tıp > Psikiyatri || Sosyal > Sosyal > Madde Bağımlılığı,Incorporating Gambling Dreams into Psychoeducational Training Modules for Individuals with Gambling Disorder,10.5152/NeuropsychiatricInvest.2026.25074,ENG
1379369,9633,7.376198,3.2483182,Sosyal > Sosyal,Sosyal > Sosyal,"Eğitim, Eğitim Araştırmaları || Eğitim, Özel","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları || Sosyal > Sosyal > Eğitim, Özel",Gürcistan Örneği: Fırsat Öğretiminin Otizm Spektrum Bozukluğu  Olan Çocuklara Sosyal Becerilerin Kazandırılmasındaki Etkileri,10.53444/deubefd.1516767,TUR
1454402,20695,6.099525,6.4740057,Sosyal > Sosyal,Sosyal > Sosyal,İktisat || Nüfus İstatistikleri Bilimi,"Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm || Sosyal > Sosyal > İktisat",TÜRKİYE’DE TURİZM TALEBİNİN DİNAMİKLERİ: YAPISAL KIRILMALAR BAĞLAMINDA BİR ANALİZ,10.14520/adyusbd.1941888,TUR
1337938,4514,0.6377258,8.067392,Fen > Mühendislik,Fen > Mühendislik,Nanobilim ve Nanoteknoloji,"Fen > Mühendislik > Mühendislik, Kimya || Fen > Mühendislik > Nanobilim ve Nanoteknoloji",Morphology-Driven Performance: Nickel Cobaltite (NiCo₂O₄) Nanorods Synthesized with Hydrothermal Strategy for Versatile Electrochemical Systems,10.16984/saufenbilder.1679338,ENG
1332391,4115,2.9282844,6.5852056,Fen > Veterinerlik,Fen > Veterinerlik || Fen > Temel Bilimler,Veterinerlik || Çevre Bilimleri,"Fen > Temel Bilimler > Kimya, Tıbbi || Fen > Veterinerlik > Veterinerlik","Nitrate and nitrite levels in cattle feed, drinking water, rumen content, and blood methemoglobin levels in Burdur Province of Türkiye",10.55730/1300-0128.4376,TUR
1383676,10552,0.79926693,7.79263,Fen > Mühendislik,Fen > Mühendislik,Nanobilim ve Nanoteknoloji || Enerji ve Yakıtlar || Maden İşletme ve Cevher Hazırlama,"Fen > Mühendislik > Metalürji Mühendisliği || Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik || Fen > Mühendislik > Çevre Mühendisliği",Elektrooksidasyon Prosesi İçin Farklı Dalga Tiplerinde Alternatif Akım Uygulandığı Karışık Metal Oksit Elektrotların Geliştirilmesinde Nadir Toprak Elementlerinin Etkisinin Araştırılması,,TUR
1333058,4143,3.4483385,9.031043,Fen > Mühendislik,Fen > Mühendislik,"Mühendislik, Deniz || Robotik || Mühendislik, Hava ve Uzay","Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği || Fen > Mühendislik > Mühendislik, Deniz",Gemiler İçin Yalpa Hareketi Sönümleyeci Aktif Kanatçık Sistemi İle Kontrolcü Algoritmaları Geliştirilmesi Ve Deneysel Ortamda Doğrulanması,,TUR
371267,20708,3.834938,3.754264,Fen > Tıp,Fen > Tıp || Fen > Temel Bilimler,Halk ve Çevre Sağlığı || Viroloji || Enfeksiyon Hastalıkları,Fen > Tıp > Enfeksiyon Hastalıkları || Fen > Tıp > Genel ve Dahili Tıp || Fen > Tıp > Halk ve Çevre Sağlığı || Fen > Tıp > Mikrobiyoloji || Fen > Tıp > Tropik Tıp,Seyahat İlişkili Ateş ve Döküntü:İki Dengue Ateşi Olgusu,doi:  10.5578/mb.68050,TUR
1348237,5336,4.6565332,1.3492968,Fen > Tıp,Fen > Tıp,Romatoloji || Nörolojik Bilimler || Klinik Nöroloji,"Fen > Tıp > Klinik Nöroloji || Fen > Tıp > Kulak, Burun, Boğaz",Spasmodik Disfoni'yi Botoksla Tedavi Ederken Disfajiye Neden Oluyor muyuz?,10.12996/gmj.2025.4395,TUR
1381055,9922,4.0721016,8.660701,Fen > Mühendislik,Fen > Mühendislik,"Bilgisayar Bilimleri, Yazılım Mühendisliği || Görüntüleme Bilimi ve Fotoğraf Teknolojisi || Robotik","Fen > Mühendislik > Bilgisayar Bilimleri, Sibernitik || Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme || Sosyal > Sosyal > Psikoloji || Sosyal > Sosyal > Sosyal Çalışma","Yaklaşma Hızının Görsel Kontrolünde Algısal Kısıtların Göreve, Taşıt Dinamiklerine Ve Çevresel Koşullara Bağlı Değişiminin İncelenmesi",,TUR
1342237,4817,3.9418406,7.6919,Fen > Mühendislik,Fen > Mühendislik,"Bilgisayar Bilimleri, Yapay Zeka || Meteoroloji ve Atmosferik Bilimler","Fen > Mühendislik > Bilgisayar Bilimleri, Yazılım Mühendisliği || Fen > Mühendislik > Enerji ve Yakıtlar || Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler",Comparative Analysis of Machine Learning and Deep Learning Models for Solar Energy Forecasting: A Meteorological Data-Driven Approach,10.33187/jmsm.1726677,ENG
1348571,5378,2.6659615,2.6676288,Fen > Tıp,Fen > Tıp,Tıbbi Araştırmalar Deneysel || Androloji || Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Kadın Hastalıkları ve Doğum || Fen > Tıp > Patoloji,Over İskemi-Reperfüzyon Hasarı ve Mangiferin’in Olası Rolü: Histopatolojik ve Biyokimyasal Bir İnceleme,10.30934/kusbed.1730683,TUR
1321824,3601,0.95513505,8.592014,Fen > Temel Bilimler,Fen > Temel Bilimler,"Fizik, Atomik ve Moleküler Kimya || Fizik, Katı Hal","Fen > Mühendislik > Malzeme Bilimleri, Tekstil || Fen > Temel Bilimler > Fizik, Uygulamalı || Fen > Temel Bilimler > Optik","On the Structural, Electric and Optic Properties of B1-xAlxN Alloys Using Ab Initio Calculation",10.54287/gujsa.1646889,ENG
1367907,7725,2.0716445,8.207228,Fen > Mühendislik,Fen > Mühendislik,"Malzeme Bilimleri, Özellik ve Test || Malzeme Bilimleri, Kompozitler","Fen > Mühendislik > Malzeme Bilimleri, Biyomalzemeler || Fen > Mühendislik > İnşaat Mühendisliği",EPOKSİ KAPLAMALI VE KAPLAMASIZ DONATILARIN MEKANİK ÖZELLİKLERİNİN KARŞILAŞTIRMALI ANALİZİ,10.31796/ogummf.1752655,TUR
1358452,6453,8.40993,4.7656426,Sosyal > Sosyal,Sosyal > Sosyal,"Eğitim, Eğitim Araştırmaları || Bilgi, Belge Yönetimi",Fen > Temel Bilimler > Astronomi ve Astrofizik,Astronomi eğitiminde Ay’ın evreleri ve tutulmalar konusu için geçerli ve güvenilir bir başarı testi geliştirme çalışması,10.21764/maeuefd.1470342,TUR
1383580,10528,6.052136,8.351464,Sosyal > Sosyal,Sosyal > Sosyal || Fen > Tıp,Arkeoloji || Adli Tıp || Tarih,Fen > Mühendislik > Denizcilik || Sosyal > Sosyal > Tarih,SİNOP ŞİLEBİ FACİASI VE KEFKEN BARINAĞI,10.30794/pausbed.1731723,TUR
1268453,2035,8.036705,4.527557,Fen > Temel Bilimler,Fen > Temel Bilimler || Sosyal > Sosyal,"Akustik || Eğitim, Eğitim Araştırmaları || Müzik","Fen > Temel Bilimler > Akustik || Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Ses Kirliliği Konusunun Eğitsel Oyun Yoluyla Öğretimi,10.48139/aybukulliye.1387930,TUR
1392232,12876,3.655112,5.104127,Fen > Temel Bilimler,Fen > Temel Bilimler,Biyoloji || Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Mantar Bilimi,First Records of Gymnopilus arenophilus and Pholiota gallica (Agaricales) from Türkiye Based on Morphological and Molecular Evidence,10.5152/forestist2026.25081,ENG
1253305,1395,5.5387807,9.360137,Fen > Mühendislik,Fen > Mühendislik,"Maden İşletme ve Cevher Hazırlama || İnşaat Mühendisliği || Mühendislik, Elektrik ve Elektronik",Fen > Mühendislik > Jeoloji || Fen > Mühendislik > Maden İşletme ve Cevher Hazırlama || Fen > Temel Bilimler > Mikroskopi,Boşluk oranının TDR kullanılarak belirlenmesi,10.61112/jiens.1470838,TUR
